"time" "foodtype" "germs"
"1" 1 1 0.038388922
"2" 1 1 0.037286059
"3" 1 1 0.037693159
"4" 1 1 0.037003013
"5" 1 1 0.038841471
"6" 1 1 0.037663884
"7" 1 1 0.037209367
"8" 1 1 0.037125418
"9" 1 1 0.037185098
"10" 1 1 0.038018395
"11" 1 2 0.000789495
"12" 1 2 0.000109191
"13" 1 2 0.0009223
"14" 1 2 0.000528049
"15" 1 2 0.001173512
"16" 1 2 0.000208357
"17" 1 2 0.000712144
"18" 1 2 0.002037096
"19" 1 2 0.000295652
"20" 1 2 0.00020185
"21" 1 3 0.056332611
"22" 1 3 0.05486404
"23" 1 3 0.054688294
"24" 1 3 0.054839434
"25" 1 3 0.054685923
"26" 1 3 0.055203381
"27" 1 3 0.054631957
"28" 1 3 0.055020453
"29" 1 3 0.054856372
"30" 1 3 0.05471974
"31" 2 1 0.120251736
"32" 2 1 0.121887605
"33" 2 1 0.119876968
"34" 2 1 0.12450774
"35" 2 1 0.119293661
"36" 2 1 0.120738577
"37" 2 1 0.120762602
"38" 2 1 0.119453481
"39" 2 1 0.121836573
"40" 2 1 0.119418193
"41" 2 2 0.096138152
"42" 2 2 0.093043628
"43" 2 2 0.093660209
"44" 2 2 0.093907652
"45" 2 2 0.09266293
"46" 2 2 0.09518008
"47" 2 2 0.093198423
"48" 2 2 0.093004533
"49" 2 2 0.094626457
"50" 2 2 0.092694645
"51" 2 3 0.301932951
"52" 2 3 0.305345456
"53" 2 3 0.304883203
"54" 2 3 0.311377319
"55" 2 3 0.307488614
"56" 2 3 0.302947157
"57" 2 3 0.304236502
"58" 2 3 0.302331898
"59" 2 3 0.310111318
"60" 2 3 0.347509802
"61" 3 1 0.141654705
"62" 3 1 0.143454945
"63" 3 1 0.144337458
"64" 3 1 0.143760454
"65" 3 1 0.143069536
"66" 3 1 0.142365418
"67" 3 1 0.142582542
"68" 3 1 0.14683793
"69" 3 1 0.145320776
"70" 3 1 0.143617684
"71" 3 2 0.107025736
"72" 3 2 0.104959499
"73" 3 2 0.104651515
"74" 3 2 0.106238581
"75" 3 2 0.10826387
"76" 3 2 0.105452344
"77" 3 2 0.104515007
"78" 3 2 0.105717336
"79" 3 2 0.104880614
"80" 3 2 0.104318166
"81" 3 3 0.523909042
"82" 3 3 0.526109545
"83" 3 3 0.528432062
"84" 3 3 0.525705663
"85" 3 3 0.525355729
"86" 3 3 0.530012631
"87" 3 3 0.538267836
"88" 3 3 0.525512119
"89" 3 3 0.527406977
"90" 3 3 0.529154453
